recipient_key	recipient_name	parent_name	candidate_ticker	basis
3a3721f9-b023-7fd4-1d19-315f54efaafe-C	PROQUEST LLC	CLARIVATE PLC	CLVT	parent-name
3a9f8f49-b8da-38c7-f7e9-c3dc0abb0af4-C	MCKESSON PLASMA AND BIOLOGICS LLC	MCKESSON CORPORATION	MCK	parent-name
3b507120-47bb-6581-7ec2-0dbbb96de860-C	UBER TECHNOLOGIES, INC.		UBER	own-name
3b9c0dbd-b9c4-b7d2-3441-01e53b2136d6-C	DELTA AIR LINES, INC.		DAL	own-name
3ce4c8f8-2cae-67b5-75db-644e5e88b54b-C	HOST HOTELS & RESORTS LP		HST	own-name
3d1c24f2-aa60-5560-2dba-3e8c5d2cc5bc-C	HEAT SOFTWARE USA INC.	FORTIVE CORPORATION	FTV	parent-name
3d6c62dd-afb7-6b62-76f9-0a803019320c-C	CHANGE HEALTHCARE OPERATIONS, LLC	MCKESSON CORPORATION	MCK	parent-name
3f1fc442-c908-93e2-51d0-a732086bd82c-C	CHSP TRS FISHERMAN WHARF LLC	PARK HOTELS & RESORTS INC.	PK	parent-name
3f4b042f-341c-af1f-1f2f-e2f9d6d086b4-C	REAL CAPITAL ANALYTICS, INC	MSCI INC	MSCI	parent-name
3f5036cc-e492-bf7a-5c1e-6c0e1033aab0-C	THOR SOLUTIONS LLC		THO	own-name
403e9dd0-77f7-a96a-2bb4-ae8b4972ca0e-C	MEDTRONIC INC		MDT	own-name
4051d253-67f0-30bd-2c7f-5eb539533924-C	LOCKHEED MARTIN CORP		LMT	own-name
41694631-0b0f-72ed-221b-29193c88f0d2-C	OPTUM PUBLIC SECTOR SOLUTIONS, INC.	UNITEDHEALTH GROUP INCORPORATED	UNH	parent-name
416e01b8-a579-75ca-d731-d28aca2e2d59-C	GULFSTREAM AEROSPACE CORPORATION	GENERAL DYNAMICS CORP	GD	parent-name
42466698-fd45-b54a-8678-8f7fa4a4f88b-C	GOODRICH ACTUATION SYSTEMS LIMITED	RTX CORP	RTX	parent-name
42d0eda5-ff47-11c7-c37b-d7ee447896f3-C	MEDTRONIC USA INC		MDT	own-name
437688b7-6fc2-8c51-1405-9477da96649c-C	STERIS CORPORATION		STE	own-name
43804642-bf8d-a303-906f-faeeb9fa7d8a-C	LEXISNEXIS RISK SOLUTIONS FL INC.	RELX PLC	RELX	parent-name
4386ea28-0ac2-26d8-57cb-ccf3e78cd65e-C	PERFORMANCE EQUITY MANAGEMENT, LLC	GENERAL MOTORS COMPANY	GM	parent-name
43ff1ec9-50e5-1d35-a392-44e72080802d-C	MHN GOVERNMENT SERVICES LLC	CENTENE CORPORATION	CNC	parent-name
447b8c8a-5d1b-fb75-ef60-846c227097c6-C	SBA TOWERS II LLC	SBA COMMUNICATIONS CORPORATION	SBAC	parent-name
44ce81f7-2dd1-a89d-90d9-2d5b885e3f41-C	MENTOR WORLDWIDE LLC	JOHNSON & JOHNSON	JNJ	parent-name
4550c803-89d0-bce3-c617-b6add852480b-C	CUMMINS ROCKY MOUNTAIN, LLC	CUMMINS INC.	CMI	parent-name
455555be-773d-eab1-1e6b-7b94400b757e-C	GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.	GENERAL DYNAMICS CORP	GD	parent-name
46023044-eacc-a9ca-5b5e-ddc4673fc267-C	LOCKHEED MARTIN CORP		LMT	own-name
464a5b15-000e-8668-246a-c4067a6f0452-C	HAMILTON SUNDSTRAND CORPORATION	RTX CORP	RTX	parent-name
47d067a1-f961-09ca-7b41-dbd318aced0c-C	ROME RESEARCH, LLC	PAR TECHNOLOGY CORPORATION	PAR	parent-name
47fdfa4e-1d2c-ce21-54b8-922832ac22b2-C	L3HARRIS TECHNOLOGIES, INC	ITT CORPORATION	ITT	parent-name
49ba01f3-56b6-92fd-1814-1a521f21fe7e-C	LOCKHEED MARTIN CORPORATION		LMT	own-name
49e0dd6d-3903-1f22-009c-e32a560b8ee0-C	STRYKER CORPORATION		SYK	own-name
4a1f028e-c2db-7515-800b-214ca781631c-C	ILLINOIS TOOL WORKS INC		ITW	own-name
4a228748-a256-002e-de46-4dd145e98dfe-C	RAYTHEON COMPANY	RTX CORP	RTX	parent-name
4acc00cb-4142-56db-919d-5873214336ee-C	AZENTA, INC.		AZTA	own-name
4b338935-1fe1-e136-3ef3-dbe01c516fbd-C	DERCO AEROSPACE, INC.	RTX CORP	RTX	parent-name
4b777065-0adb-34ac-c8e1-f0d179d81b63-C	BIO-RAD LABORATORIES, INC.		BIO	own-name
4b893934-0e74-c4ac-f525-6a2beb1f7b32-C	ABBOTT LABORATORIES INC.		ABT	own-name
4bd73aa7-7f60-a3d9-4397-54df40f279f6-C	INSPIRE MEDICAL SYSTEMS, INC.		INSP	own-name
