recipient_key	recipient_name	parent_name	candidate_ticker	basis
b91e6418-aa27-f6c2-90a9-1545753a6d15-C	RAYTHEON COMPANY	RTX CORP	RTX	parent-name
ba54128b-d307-1a1b-8efb-7fd3c35ec697-C	INCENTIVE TECHNOLOGY GROUP LLC	ICF INTERNATIONAL, INC.	ICFI	parent-name
ba61d3e5-9ee2-62c6-7002-6eb9efd7682d-C	RAYTHEON COMPANY	RTX CORP	RTX	parent-name
bb5b6359-96c9-5534-938c-4e768bdf7d2e-C	NORESCO, LLC	RTX CORP	RTX	parent-name
bbf342a7-6485-cb2f-432f-751ea2506efc-C	STARLIMS CORPORATION	ABBOTT LABORATORIES	ABT	parent-name
bcc6d6fc-0fa8-aac1-2016-427adf3da83f-C	BIOMARK LLC	MERCK & CO., INC.	MRK	parent-name
bf95e1ce-d407-e40f-d8aa-28d691e1a32b-C	STANDARD & POOR'S FINANCIAL SERVICES LLC	S&P GLOBAL INC.	SPGI	parent-name
c201e67a-668c-58e3-4ab5-8653d259ae26-C	DEPUY SYNTHES SALES INC	JOHNSON & JOHNSON	JNJ	parent-name
c260138e-301c-323a-da05-526c32e86e85-C	CREATIVE SYSTEMS AND CONSULTING L.L.C.	ICF INTERNATIONAL, INC.	ICFI	parent-name
c2ccd353-9f62-d8c7-8f63-78458e9e9cc7-C	RAYTHEON COMPANY	RTX CORP	RTX	parent-name
c414eca8-312b-9a3c-fc83-0d305303c6f7-C	VECTREN LLC	CENTERPOINT ENERGY, INC.	CNP	parent-name
c853e3df-73ca-57c7-e3a9-361b2dd12a0d-C	APRIA HEALTHCARE LLC	BLACKSTONE INC.	BX	parent-name
c94a63ea-3f6b-72f7-c9e1-b946c3ffcc4a-C	VALLEY PROTEINS, LLC	DARLING INGREDIENTS INC	DAR	parent-name
cabf3eec-12ae-f6bd-186f-a2bb9df04df6-C	DJONT/JPM HOSPITALITY LEASING (SPE), L.L.C.	RLJ LODGING TRUST	RLJ	parent-name
cbcf9a15-b96e-3b46-30e5-81fbd88b2240-C	PORTFOLIO MEDIA INC	RELX PLC	RELX	parent-name
cbd9f3e4-bdd7-ddc1-a8a5-10284f15a504-C	LOCKHEED MISSILES & SPACE COMP	LOCKHEED MARTIN CORP	LMT	parent-name
cce9df51-3950-87f4-0b34-4353d5a08f32-C	RAYTHEON COMPANY	RTX CORP	RTX	parent-name
cd535b27-2955-21fe-2707-c2c76f9c6e6a-C	ABBOTT MOLECULAR INC.	ABBOTT LABORATORIES	ABT	parent-name
d1f2ff03-8420-4b97-952e-d9e250bfb5f6-C	RAYTHEON COMPANY	RTX CORP	RTX	parent-name
d222ccec-56d8-2236-8f7d-e3328231fb23-C	ENERGY SYSTEMS GROUP, LLC	CENTERPOINT ENERGY, INC.	CNP	parent-name
d2451904-5e9f-d65b-49d6-5fbe521abbe0-C	FEI COMPANY	THERMO FISHER SCIENTIFIC INC.	TMO	parent-name
d3b182df-5daa-6f63-c00e-d99b7ba7875e-C	NATIONAL STEEL AND SHIPBUILDING COMPANY	GENERAL DYNAMICS CORP	GD	parent-name
d4fcadd5-c9fc-e78a-9465-e075ee069a08-C	LIFE TECHNOLOGIES CORPORATION	THERMO FISHER SCIENTIFIC INC.	TMO	parent-name
d64537c9-5482-dd40-cdd4-5cf07b66329d-C	SIKORSKY AIRCRAFT CORPORATION	RTX CORP	RTX	parent-name
d981737e-a58a-cdd8-c395-26255cd079ca-C	MARRIOTT INTERNATIONAL, INC.	RYMAN HOSPITALITY PROPERTIES, INC.	RHP	parent-name
db1a4671-c077-8b5a-ad52-6e23942010ae-C	SOUTHWESTERN BELL TELEPHONE COMPANY	AT&T INC.	T	parent-name
df712cb5-bbd4-3546-af85-21322f535aa4-C	THERMO ELECTRON NORTH AMERICA LLC	THERMO FISHER SCIENTIFIC INC.	TMO	parent-name
e1c0598c-8b98-1615-980d-adb2854e3c4d-C	VINDICATOR TECHNOLOGIES, INC.	HONEYWELL INTERNATIONAL INC	HON	parent-name
e24d5cbf-108d-06e6-788f-02c4f4bd9fc8-C	ON-X LIFE TECHNOLOGIES INC.	ARTIVION, INC	AORT	parent-name
e31a62d4-da4f-10e2-fb37-801942dbcab0-C	ELSEVIER B.V.	RELX PLC	RELX	parent-name
e46e4a5e-0808-76be-0305-4ceb3e64f2fa-C	LEXISNEXIS SPECIAL SERVICES INC	RELX PLC	RELX	parent-name
e58ca7d6-e387-796f-fced-5ebcaf6ed2a9-C	PETROLEUM ANALYZER CO L.P	ROPER TECHNOLOGIES, INC.	ROP	parent-name
e88e8956-8eb7-7920-2f33-c66829ac91b1-C	SOUTHWESTERN BELL TELEPHONE COMPANY	AT&T INC.	T	parent-name
ec19aa19-5743-cc5c-2c9f-e9fe33c8b72f-C	SOLIPSYS CORPORATION	RTX CORP	RTX	parent-name
ee0b1e34-8214-00ae-7234-b76977f89b35-C	IDSC HOLDINGS LLC	SNAP-ON INCORPORATED	SNA	parent-name
f203bb8c-f4f4-1175-bad9-551bf4b5d9cb-C	SBA SITE MANAGEMENT, LLC	SBA COMMUNICATIONS CORPORATION	SBAC	parent-name
f321e226-c4b2-f29f-443b-86843ff28e53-C	RAYTHEON COMPANY	RTX CORP	RTX	parent-name
fa83b7a5-eb47-6b47-9d3c-5f7d8577b699-C	SYMMETRY ENERGY SOLUTIONS LLC	CENTERPOINT ENERGY, INC.	CNP	parent-name
fa9f6e02-3bb4-c48e-cb7c-294ee20c8b3e-C	VERIZON FEDERAL INC.	VERIZON COMMUNICATIONS INC	VZ	parent-name
fb7a25a1-ab68-1934-0232-150ecc357c99-C	CARRIER CORPORATION	RTX CORP	RTX	parent-name
fd78ff32-bcfe-2db3-b26c-e5e31cea3090-C	SUPERIOR CARE PHARMACY, LLC	CVS HEALTH CORPORATION	CVS	parent-name
fdcddcc5-c44a-c042-59a0-d27b5865848d-C	CSR INC.	CVS HEALTH CORPORATION	CVS	parent-name
ff16a643-4b81-e97e-c914-246f2f982a6c-C	LINK2GOV, LLC	FIDELITY NATIONAL INFORMATION SERVICES, INC.	FIS	parent-name
ffa00e83-9db4-5c88-43e7-1b283f664dc9-C	LNRS DATA SERVICES INC	RELX PLC	RELX	parent-name
ffdd682b-d30d-4207-e9ce-a898a75113ff-C	EXTRA SPACE MANAGEMENT, INC.	EXTRA SPACE STORAGE INC.	EXR	parent-name
